role_id,role_title,masco_code,masco_unit_group_code,candidate_rank,candidate_esco_code,candidate_esco_title,candidate_esco_uri,matched_label,matched_label_type,title_similarity,candidate_status,mapping_status,review_decision,reviewer,review_notes
M132405,Halal Logistics Operation Manager,132405,1324,3,1324.2,air traffic manager,http://data.europa.eu/esco/occupation/0d442b70-5413-4820-bebf-36dd5ce437ac,air traffic operations manager,altLabel,0.698413,review_only_not_used,no_unique_exact_esco_title_match,,,
M151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,151101,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151102,Information Systems Manager,151102,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151103,Village Community Center Manager (Information Technology),151103,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151104,Internet Service Provider,151104,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151105,Network/Communications/Infrastructure Manager,151105,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151106,Audio Visual Manager,151106,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151107,Information Technology Project Manager,151107,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151108,Information Technology Programme Manager,151108,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M151109,Bioinformatics Manager,151109,1511,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
